timestamp,gpu_index,name,util_gpu_pct,util_mem_pct,memory_used_mib,memory_total_mib,power_w,temp_c
2026/06/20 17:40:15.558, 0, NVIDIA RTX 2000 Ada Generation, 0, 0, 5915, 16380, 17.50, 58
2026/06/20 17:40:16.589, 0, NVIDIA RTX 2000 Ada Generation, 65, 66, 5915, 16380, 29.10, 62
2026/06/20 17:40:17.629, 0, NVIDIA RTX 2000 Ada Generation, 68, 69, 5915, 16380, 46.52, 63
2026/06/20 17:40:18.668, 0, NVIDIA RTX 2000 Ada Generation, 66, 67, 5915, 16380, 46.44, 63
2026/06/20 17:40:19.703, 0, NVIDIA RTX 2000 Ada Generation, 85, 86, 5915, 16380, 50.40, 64
2026/06/20 17:40:20.735, 0, NVIDIA RTX 2000 Ada Generation, 75, 76, 5915, 16380, 52.24, 64
2026/06/20 17:40:21.766, 0, NVIDIA RTX 2000 Ada Generation, 76, 77, 5915, 16380, 51.80, 64
2026/06/20 17:40:22.799, 0, NVIDIA RTX 2000 Ada Generation, 85, 86, 5915, 16380, 51.96, 65
2026/06/20 17:40:23.833, 0, NVIDIA RTX 2000 Ada Generation, 84, 86, 5915, 16380, 54.10, 65
2026/06/20 17:40:24.871, 0, NVIDIA RTX 2000 Ada Generation, 85, 86, 5915, 16380, 54.33, 65
2026/06/20 17:40:25.908, 0, NVIDIA RTX 2000 Ada Generation, 84, 86, 5915, 16380, 54.34, 65
2026/06/20 17:40:26.942, 0, NVIDIA RTX 2000 Ada Generation, 85, 86, 5915, 16380, 54.24, 66
2026/06/20 17:40:27.978, 0, NVIDIA RTX 2000 Ada Generation, 85, 86, 5915, 16380, 54.49, 66
2026/06/20 17:40:29.015, 0, NVIDIA RTX 2000 Ada Generation, 85, 86, 5915, 16380, 54.49, 66
2026/06/20 17:40:30.051, 0, NVIDIA RTX 2000 Ada Generation, 86, 87, 5915, 16380, 54.56, 66
2026/06/20 17:40:31.089, 0, NVIDIA RTX 2000 Ada Generation, 84, 85, 5915, 16380, 54.53, 66
2026/06/20 17:40:32.122, 0, NVIDIA RTX 2000 Ada Generation, 77, 78, 5915, 16380, 51.64, 66
2026/06/20 17:40:33.151, 0, NVIDIA RTX 2000 Ada Generation, 73, 74, 5915, 16380, 51.11, 66
