timestamp,gpu_index,name,util_gpu_pct,util_mem_pct,memory_used_mib,memory_total_mib,power_w,temp_c
2026/06/10 02:33:48.934, 0, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4285, 12282, 32.11, 35
2026/06/10 02:33:48.935, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4, 12282, 4.59, 36
2026/06/10 02:33:49.967, 0, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4285, 12282, 32.01, 35
2026/06/10 02:33:49.968, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4, 12282, 4.59, 36
2026/06/10 02:33:50.993, 0, NVIDIA GeForce RTX 4070 SUPER, 89, 81, 4289, 12282, 81.47, 41
2026/06/10 02:33:50.994, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4, 12282, 4.70, 36
2026/06/10 02:33:52.012, 0, NVIDIA GeForce RTX 4070 SUPER, 89, 81, 4289, 12282, 143.99, 42
2026/06/10 02:33:52.013, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4, 12282, 4.89, 36
2026/06/10 02:33:53.031, 0, NVIDIA GeForce RTX 4070 SUPER, 89, 80, 4289, 12282, 144.99, 42
2026/06/10 02:33:53.032, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4, 12282, 4.97, 36
2026/06/10 02:33:54.050, 0, NVIDIA GeForce RTX 4070 SUPER, 88, 80, 4289, 12282, 145.27, 43
2026/06/10 02:33:54.050, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4, 12282, 5.04, 36
2026/06/10 02:33:55.070, 0, NVIDIA GeForce RTX 4070 SUPER, 89, 81, 4289, 12282, 146.02, 43
2026/06/10 02:33:55.070, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4, 12282, 5.02, 36
2026/06/10 02:33:56.088, 0, NVIDIA GeForce RTX 4070 SUPER, 89, 81, 4289, 12282, 145.95, 43
2026/06/10 02:33:56.089, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4, 12282, 5.13, 36
2026/06/10 02:33:57.108, 0, NVIDIA GeForce RTX 4070 SUPER, 89, 81, 4289, 12282, 145.87, 43
2026/06/10 02:33:57.109, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4, 12282, 5.12, 36
