timestamp,gpu_index,name,util_gpu_pct,util_mem_pct,memory_used_mib,memory_total_mib,power_w,temp_c
2026/06/10 02:37:31.388, 0, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 5253, 12282, 33.37, 39
2026/06/10 02:37:31.388, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4533, 12282, 28.82, 39
2026/06/10 02:37:32.415, 0, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 5253, 12282, 33.62, 39
2026/06/10 02:37:32.417, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4533, 12282, 28.84, 39
2026/06/10 02:37:33.438, 0, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 5253, 12282, 33.56, 39
2026/06/10 02:37:33.438, 1, NVIDIA GeForce RTX 4070 SUPER, 88, 79, 4537, 12282, 85.83, 45
2026/06/10 02:37:34.471, 0, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 5253, 12282, 33.56, 39
2026/06/10 02:37:34.472, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4537, 12282, 88.54, 40
2026/06/10 02:37:35.493, 0, NVIDIA GeForce RTX 4070 SUPER, 89, 80, 5257, 12282, 52.32, 45
2026/06/10 02:37:35.494, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4537, 12282, 51.36, 40
2026/06/10 02:37:36.521, 0, NVIDIA GeForce RTX 4070 SUPER, 30, 27, 5257, 12282, 132.44, 41
2026/06/10 02:37:36.522, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4537, 12282, 36.98, 39
2026/06/10 02:37:37.543, 0, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 5257, 12282, 59.48, 40
2026/06/10 02:37:37.544, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4537, 12282, 32.78, 39
2026/06/10 02:37:38.562, 0, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 5257, 12282, 42.29, 39
2026/06/10 02:37:38.563, 1, NVIDIA GeForce RTX 4070 SUPER, 88, 80, 4541, 12282, 130.84, 46
2026/06/10 02:37:39.588, 0, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 5257, 12282, 37.79, 39
2026/06/10 02:37:39.589, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4541, 12282, 69.02, 41
2026/06/10 02:37:40.651, 0, NVIDIA GeForce RTX 4070 SUPER, 2, 1, 5261, 12282, 33.90, 40
2026/06/10 02:37:40.652, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4541, 12282, 50.19, 41
2026/06/10 02:37:41.670, 0, NVIDIA GeForce RTX 4070 SUPER, 87, 79, 5261, 12282, 128.40, 45
2026/06/10 02:37:41.671, 1, NVIDIA GeForce RTX 4070 SUPER, 0, 0, 4541, 12282, 37.37, 39
2026/06/10 02:37:42.689, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 148.10, 46
2026/06/10 02:37:42.690, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 71.92, 46
2026/06/10 02:37:43.709, 0, NVIDIA GeForce RTX 4070 SUPER, 99, 85, 5261, 12282, 149.30, 46
2026/06/10 02:37:43.710, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 145.10, 47
2026/06/10 02:37:44.729, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 149.73, 47
2026/06/10 02:37:44.730, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 83, 4541, 12282, 145.85, 47
2026/06/10 02:37:45.749, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 149.80, 47
2026/06/10 02:37:45.750, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 4541, 12282, 145.99, 47
2026/06/10 02:37:46.768, 0, NVIDIA GeForce RTX 4070 SUPER, 91, 80, 5261, 12282, 148.73, 47
2026/06/10 02:37:46.769, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 145.24, 47
2026/06/10 02:37:47.787, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 149.61, 47
2026/06/10 02:37:47.788, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 4541, 12282, 146.70, 47
2026/06/10 02:37:48.807, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 149.85, 47
2026/06/10 02:37:48.808, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 4541, 12282, 146.70, 48
2026/06/10 02:37:49.827, 0, NVIDIA GeForce RTX 4070 SUPER, 99, 85, 5261, 12282, 149.59, 48
2026/06/10 02:37:49.828, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 4541, 12282, 147.03, 48
2026/06/10 02:37:50.846, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 151.59, 48
2026/06/10 02:37:50.846, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 4541, 12282, 147.13, 48
2026/06/10 02:37:51.942, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 151.43, 48
2026/06/10 02:37:51.943, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 147.39, 48
2026/06/10 02:37:52.963, 0, NVIDIA GeForce RTX 4070 SUPER, 93, 81, 5261, 12282, 150.75, 48
2026/06/10 02:37:52.964, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 147.30, 48
2026/06/10 02:37:53.984, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 151.93, 49
2026/06/10 02:37:53.985, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 4541, 12282, 147.56, 49
2026/06/10 02:37:55.004, 0, NVIDIA GeForce RTX 4070 SUPER, 99, 83, 5261, 12282, 151.04, 49
2026/06/10 02:37:55.005, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 146.65, 49
2026/06/10 02:37:56.025, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 151.20, 49
2026/06/10 02:37:56.026, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 147.37, 49
2026/06/10 02:37:57.046, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 151.88, 49
2026/06/10 02:37:57.046, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 147.47, 49
2026/06/10 02:37:58.066, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 152.13, 49
2026/06/10 02:37:58.066, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 147.28, 49
2026/06/10 02:37:59.086, 0, NVIDIA GeForce RTX 4070 SUPER, 99, 85, 5261, 12282, 152.36, 49
2026/06/10 02:37:59.087, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 147.26, 49
2026/06/10 02:38:00.107, 0, NVIDIA GeForce RTX 4070 SUPER, 99, 85, 5261, 12282, 151.97, 50
2026/06/10 02:38:00.108, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 147.27, 49
2026/06/10 02:38:01.128, 0, NVIDIA GeForce RTX 4070 SUPER, 100, 85, 5261, 12282, 152.48, 50
2026/06/10 02:38:01.128, 1, NVIDIA GeForce RTX 4070 SUPER, 100, 84, 4541, 12282, 147.49, 50
